"Wykaz refundowanych leków, srodków spozywczych specjalnego przeznaczenia zywieniowego oraz wyrobów medycznych.",,,,,,,,,,,,,
1. Leki refundowane dostepne w aptece na recepte w ca_ym zakresie zarejestrowanych wskazan i przeznaczen lub we wskazaniu okreslonym stanem klinicznym,,,,,,,,,,,,,
lp,Substancja czynna,"Nazwa, posta_ i dawka leku, _rodka spo_ywczego specjalnego przeznaczenia _ywieniowego albo wyrobu medycznego",Zawarto__ opakowania,Kod EAN lub inny kod odpowiadaj_cy kodowi EAN,Termin wej_cia w _ycie decyzji,Okres obowi_zywania decyzji,Grupa limitowa,Urz_dowa cena zbytu,Cena detaliczna,Wysoko__ limitu finansowania,Zakres wskaza_ obj_tych refundacj_,Poziom odp_atno_ci,Wysoko__ dop_aty _wiadczeniobiorcy
377,Buprenorphinum,"Transtec 52,5 µg/h, system transdermalny, 30 mg",5 szt.,5909990966226,2012-01-01,2 lata,"152.4, Opioidowe leki przeciwbólowe - postacie do stosowania przezskórnego",151.04,174.05,91.5,Nowotwory z_o_liwe,bezp_atny,82.55
378,Buprenorphinum,"Transtec 52,5 µg/h, system transdermalny, 30 mg",5 szt.,5909990966226,2012-01-01,2 lata,"152.4, Opioidowe leki przeciwbólowe - postacie do stosowania przezskórnego",151.04,174.05,91.5,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,85.75
379,Buprenorphinum,"Transtec 70 µg/h, system transdermalny, 40 mg",5 szt.,5909990966325,2012-01-01,2 lata,"152.4, Opioidowe leki przeciwbólowe - postacie do stosowania przezskórnego",197.52,225.14,122,Nowotwory z_o_liwe,bezp_atny,103.14
380,Buprenorphinum,"Transtec 70 µg/h, system transdermalny, 40 mg",5 szt.,5909990966325,2012-01-01,2 lata,"152.4, Opioidowe leki przeciwbólowe - postacie do stosowania przezskórnego",197.52,225.14,122,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,106.34
381,Buspironum,"Spamilan, tabl. , 5 mg",60 tabl. (6 blist.po 10 szt.),5909990073597,2012-01-01,2 lata,"182.0, Leki przeciwl_kowe - buspiron",18.25,24.26,19.86,Choroby psychiczne lub upo_ledzenia umys_owe,30%,10.36
382,Buspironum,"Spamilan, tabl. , 10 mg",60 tabl. (6 blist.po 10 szt.),5909990073603,2012-01-01,2 lata,"182.0, Leki przeciwl_kowe - buspiron",30.24,39.71,39.71,Choroby psychiczne lub upo_ledzenia umys_owe,30%,11.91
383,Calcifediolum,"Devisol-25, krople doustne, 150 mcg/ml",10 ml,5909990227211,2012-01-01,2 lata,"18.2, Witamina D i jej metabolity - colekalcyferol i kalcyfediol",10.13,12.51,5.83,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,9.88
384,Calcii folinas,"Calciumfolinat-Ebewe, roztwór do wstrzykiwa_, 30 mg",5 amp.a 3ml,5909990356515,2012-01-01,2 lata,"215.2, Kwas folinowy i jego sole - postacie do stosowania pozajelitowego",40.1,52.54,52.54,Nowotwory z_o_liwe,bezp_atny,0
385,Calcii folinas,"Calciumfolinat-Ebewe, roztwór do wstrzykiwa_, 100 mg",5 amp.a 10ml,5909990356522,2012-01-01,2 lata,"215.2, Kwas folinowy i jego sole - postacie do stosowania pozajelitowego",102.6,126.56,126.56,Nowotwory z_o_liwe,bezp_atny,0
386,Calcii folinas,"Calciumfolinat-Ebewe, roztwór do wstrzykiwa_, 200 mg",1 fiol.a 20ml,5909990356546,2012-01-01,2 lata,"215.2, Kwas folinowy i jego sole - postacie do stosowania pozajelitowego",41.9,56.18,56.18,Nowotwory z_o_liwe,bezp_atny,0
387,Calcii folinas,"Calciumfolinat-Ebewe, kaps. twarde, 15 mg",20 kaps.,5909990356713,2012-01-01,2 lata,"215.1, Kwas folinowy i jego sole - postacie do stosowania doustnego",21.6,29.08,29.08,Nowotwory z_o_liwe,bezp_atny,0
388,Calcii folinas,"Leucovorin Ca Teva, proszek do sporz_dzania roztworu do wstrzykiwa_, 10 mg",10 fiol.,5909990123421,2012-01-01,2 lata,"215.2, Kwas folinowy i jego sole - postacie do stosowania pozajelitowego",70.56,83.12,39.32,Nowotwory z_o_liwe,bezp_atny,43.8
389,Calcii folinas,"Leucovorin Ca Teva, proszek do sporz_dzania roztworu do wstrzykiwa_, 25 mg",10 fiol.,5909990123520,2012-01-01,2 lata,"215.2, Kwas folinowy i jego sole - postacie do stosowania pozajelitowego",79.93,98.3,98.3,Nowotwory z_o_liwe,bezp_atny,0
390,Calcii folinas,"Leucovorin Ca Teva, roztwór do wstrzykiwa_, 10 mg/ml ",1 fiol. po 50 ml,5909991117566,2012-01-01,2 lata,"215.2, Kwas folinowy i jego sole - postacie do stosowania pozajelitowego",90.72,113.85,113.85,Nowotwory z_o_liwe,bezp_atny,0
391,Calcitoninum,"CALCITONIN 100 JELFA, p_yn do wstrzykiwa_, 100 j.m./ml",5 amp.a 1ml,5909990808410,2012-01-01,2 lata,"86.0, Leki wp_ywajace na gospodark_ wapniow_ - kalcytonina",20.52,27.75,27.75,Osteoporoza,30%,8.33
392,Candesartanum,"Atacand, tabl. , 8 mg",14 tabl. (blist.),5909990430017,2012-01-01,2 lata,"45.0, Anatagoni_ci angiotensyny II - produkty jednosk_adnikowe i z_o_one",21.17,25.06,7.94,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,30%,19.5
393,Candesartanum,"Atacand, tabl. , 8 mg",28 tabl. (blist.),5909990430024,2012-01-01,2 lata,"45.0, Anatagoni_ci angiotensyny II - produkty jednosk_adnikowe i z_o_one",40.48,47.35,15.87,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,30%,36.24
394,Candesartanum,"Atacand, tabl. , 16 mg",28 tabl. (2 blist.po 14 szt.),5909990430123,2012-01-01,2 lata,"45.0, Anatagoni_ci angiotensyny II - produkty jednosk_adnikowe i z_o_one",40.24,49.37,31.74,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,30%,27.15
395,Candesartanum,"Karbis, tabl. , 8 mg",28 tabl.,5909990772162,2012-01-01,2 lata,"45.0, Anatagoni_ci angiotensyny II - produkty jednosk_adnikowe i z_o_one",21.6,27.15,15.87,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,30%,16.04
396,Candesartanum,"Karbis, tabl. , 16 mg",28 tabl.,5909990772193,2012-01-01,2 lata,"45.0, Anatagoni_ci angiotensyny II - produkty jednosk_adnikowe i z_o_one",29.16,37.51,31.74,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,30%,15.29
397,Captoprilum,"CAPTOPRIL POLFARMEX, tabl. , 25 mg",30 tabl. (3 blist.po 10 szt.),5909990495238,2012-01-01,2 lata,"44.0, Inhibitory konwertazy angiotensyny - produkty jednosk_adnikowe i z_o_one",2.53,3.56,2.77,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,3.56
398,Captoprilum,"CAPTOPRIL POLFARMEX, tabl. , 50 mg",30 tabl. (3 blist.po 10 szt.),5909990495337,2012-01-01,2 lata,"44.0, Inhibitory konwertazy angiotensyny - produkty jednosk_adnikowe i z_o_one",4.97,7.04,5.54,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,4.7
399,Captoprilum,"CAPTOPRIL POLFARMEX, tabl. , 12,5 mg",30 tabl. (3 blist.po 10 szt.),5909990830817,2012-01-01,2 lata,"44.0, Inhibitory konwertazy angiotensyny - produkty jednosk_adnikowe i z_o_one",1.87,2.43,1.39,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,2.43
400,Carbamazepinum,"Amizepin, tabl. , 200 mg",50 tabl. (5 blist.po 10 szt.),5909990043910,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",10.8,14.59,10.53,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,4.06
401,Carbamazepinum,"Amizepin, tabl. , 200 mg",50 tabl. (5 blist.po 10 szt.),5909990043910,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",10.8,14.59,10.53,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,7.26
402,Carbamazepinum,"Finlepsin, tabl. , 200 mg",50 tabl. (5 blist.po 10 szt.),5909991014117,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",10.35,14.1,10.53,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,3.57
403,Carbamazepinum,"Finlepsin, tabl. , 200 mg",50 tabl. (5 blist.po 10 szt.),5909991014117,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",10.35,14.1,10.53,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,6.77
404,Carbamazepinum,"Finlepsin 200 retard, tabl. o przed_u_onym uwalnianiu, 200 mg",50 tabl. (5 blist.po 10 szt.),5909991030315,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",10.35,14.1,10.53,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,3.57
405,Carbamazepinum,"Finlepsin 200 retard, tabl. o przed_u_onym uwalnianiu, 200 mg",50 tabl. (5 blist.po 10 szt.),5909991030315,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",10.35,14.1,10.53,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,6.77
406,Carbamazepinum,"Finlepsin 400 retard, tabl. o przed_u_onym uwalnianiu, 400 mg",30 tabl. (3 blist.po 10 szt.),5909991014216,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",11.8,16.16,12.64,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,3.52
407,Carbamazepinum,"Finlepsin 400 retard, tabl. o przed_u_onym uwalnianiu, 400 mg",30 tabl. (3 blist.po 10 szt.),5909991014216,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",11.8,16.16,12.64,Padaczka,rycza_t,6.72
408,Carbamazepinum,"Finlepsin 400 retard, tabl. o przed_u_onym uwalnianiu, 400 mg",50 tabl. (5 blist.po 10 szt.),5909991014223,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",20.43,26.73,21.07,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,5.66
409,Carbamazepinum,"Finlepsin 400 retard, tabl. o przed_u_onym uwalnianiu, 400 mg",50 tabl. (5 blist.po 10 szt.),5909991014223,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",20.43,26.73,21.07,Padaczka,rycza_t,8.86
410,Carbamazepinum,"Neurotop retard 300, tabl. o przed_u_onym uwalnianiu, 300 mg",50 tabl. (5 blist.po 10 szt.),5909990244515,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",12.96,17.9,15.8,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,2.1
411,Carbamazepinum,"Neurotop retard 300, tabl. o przed_u_onym uwalnianiu, 300 mg",50 tabl. (5 blist.po 10 szt.),5909990244515,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",12.96,17.9,15.8,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,5.3
412,Carbamazepinum,"Neurotop retard 600, tabl. o przed_u_onym uwalnianiu, 600 mg",50 tabl. (5 blist.po 10 szt.),5909990244614,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",23.65,31.6,31.6,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,0
413,Carbamazepinum,"Neurotop retard 600, tabl. o przed_u_onym uwalnianiu, 600 mg",50 tabl. (5 blist.po 10 szt.),5909990244614,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",23.65,31.6,31.6,Padaczka,rycza_t,3.2
414,Carbamazepinum,"Tegretol , zawiesina doustna, 20 mg/ml",100 ml,5909990341917,2012-01-01,2 lata,"159.2, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - p_ynne postacie farmaceutyczne",6.83,9.82,8.69,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,1.13
415,Carbamazepinum,"Tegretol , zawiesina doustna, 20 mg/ml",100 ml,5909990341917,2012-01-01,2 lata,"159.2, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - p_ynne postacie farmaceutyczne",6.83,9.82,8.69,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,4.33
416,Carbamazepinum,"Tegretol , zawiesina doustna, 20 mg/ml",250 ml,5909990341924,2012-01-01,2 lata,"159.2, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - p_ynne postacie farmaceutyczne",15.76,21.73,21.73,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,0
417,Carbamazepinum,"Tegretol , zawiesina doustna, 20 mg/ml",250 ml,5909990341924,2012-01-01,2 lata,"159.2, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - p_ynne postacie farmaceutyczne",15.76,21.73,21.73,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,3.2
418,Carbamazepinum,"Tegretol CR 200, tabl. o zmodyfikowanym uwalnianiu, 200 mg",50 tabl.,5909990120215,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",11.99,15.86,10.53,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,5.33
419,Carbamazepinum,"Tegretol CR 200, tabl. o zmodyfikowanym uwalnianiu, 200 mg",50 tabl.,5909990120215,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",11.99,15.86,10.53,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,8.53
420,Carbamazepinum,"Tegretol CR 400, tabl. o zmodyfikowanym uwalnianiu, 400 mg",30 tabl.,5909990120116,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",12.12,16.49,12.64,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,3.85
421,Carbamazepinum,"Tegretol CR 400, tabl. o zmodyfikowanym uwalnianiu, 400 mg",30 tabl.,5909990120116,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",12.12,16.49,12.64,Padaczka,rycza_t,7.05
422,Carbamazepinum,"Timonil 150 retard, tabl. , 150 mg",50 tabl.,5909990751013,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",8.64,11.64,7.9,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,3.74
423,Carbamazepinum,"Timonil 150 retard, tabl. , 150 mg",50 tabl.,5909990751013,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",8.64,11.64,7.9,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,6.94
424,Carbamazepinum,"Timonil 300 retard, tabl. , 300 mg",50 tabl.,5909990751211,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",13.18,18.13,15.8,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,2.33
425,Carbamazepinum,"Timonil 300 retard, tabl. , 300 mg",50 tabl.,5909990751211,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",13.18,18.13,15.8,Padaczka,rycza_t,5.53
426,Carbamazepinum,"Timonil 600 retard, tabl. , 600 mg",50 tabl.,5909990751310,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",24.27,32.26,31.6,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,0.66
427,Carbamazepinum,"Timonil 600 retard, tabl. , 600 mg",50 tabl.,5909990751310,2012-01-01,2 lata,"159.1, Leki przeciwpadaczkowe do stosowania doustnego - karbamazepina - sta_e postacie farmaceutyczne",24.27,32.26,31.6,Padaczka,rycza_t,3.86
428,Carbocisteinum,"Mukolina, syrop, 50 mg/ml",120 ml,5909990032211,2012-01-01,2 lata,"205.1, Leki mukolityczne - acetylocysteina",4.42,6.62,6.62,"Mukowiscydoza , Pierwotna dyskineza rz_sek",30%,1.99
429,Carvedilolum,"ATRAM 12,5, tabl. , 12,5 mg",30 tabl. (2 blist.po 15 szt.),5909990570430,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",8.42,9.53,1.8,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,8.27
430,Carvedilolum,"ATRAM 25, tabl. , 25 mg",30 tabl. (3 blist.po 10 szt.),5909990570409,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",10.8,12.58,3.6,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,10.06
431,Carvedilolum,"Atram 6,25, tabl. , 6,25 mg",30 tabl. (2 blist.po 15 szt.),5909990570454,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",6.8,7.54,0.9,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,6.91
432,Carvedilolum,"Avedol, tabl. powl., 6,25 mg",30 tabl. (3 blist.po 10 szt.),5909990074051,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",6.8,7.54,0.9,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,6.91
433,Carvedilolum,"Avedol, tabl. powl., 12,5 mg",30 tabl. (3 blist.po 10 szt.),5909990074099,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",8.96,10.1,1.8,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,8.84
434,Carvedilolum,"Avedol, tabl. powl., 25 mg",30 tabl. (3 blist.po 10 szt.),5909990074129,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",11.56,13.39,3.6,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,10.87
435,Carvedilolum,"CARVETREND, tabl. , 3,125 mg",30 tabl. (2 blist.po 15 szt.),5909991016814,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",8.31,9.02,0.45,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,8.71
436,Carvedilolum,"CARVETREND, tabl. , 6,25 mg",30 tabl. (2 blist.po 15 szt.),5909991016913,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",9.34,10.26,0.9,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,9.63
437,Carvedilolum,"CARVETREND, tabl. , 12,5 mg",30 tabl. (2 blist.po 15 szt.),5909991017019,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",10.37,11.61,1.8,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,10.35
438,Carvedilolum,"CARVETREND, tabl. , 25 mg",30 tabl. (blister),5909991017118,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",12.45,14.36,3.6,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,11.84
439,Carvedilolum,"Carvedigamma 12,5 mg, tabl. powl., 12,5 mg",30 tabl. (3 blist.po 10 szt.),5909990419654,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",8.64,9.76,1.8,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,8.5
440,Carvedilolum,"Carvedigamma 25 mg, tabl. powl., 25 mg",30 tabl. (3 blist.po 10 szt.),5909990419609,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",11.12,12.93,3.6,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,10.41
441,Carvedilolum,"Carvedigamma 6,25 mg, tabl. powl., 6,25 mg",30 tabl. (3 blist.po 10 szt.),5909990419685,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",6.37,7.07,0.9,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,6.44
442,Carvedilolum,"Carvedilol Teva, tabl. , 6,25 mg",30 tabl. (3 blist.po 10 szt.),5909990338788,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",7.12,7.87,0.9,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,7.24
443,Carvedilolum,"Carvedilol Teva, tabl. , 12,5 mg",30 tabl. (3 blist.po 10 szt.),5909990338856,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",7.8,8.86,1.8,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,7.6
444,Carvedilolum,"Carvedilol Teva, tabl. , 25 mg",30 tabl. (3 blist.po 10 szt.),5909990338931,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",8.76,10.4,3.6,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,7.88
445,Carvedilolum,"Carvedilol-ratiopharm, tabl. powl., 6,25 mg",30 tabl. (3 blist.po 10 szt.),5909990727100,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",6.43,7.14,0.9,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,6.51
446,Carvedilolum,"Carvedilol-ratiopharm, tabl. powl., 12,5 mg",30 tabl. (3 blist.po 10 szt.),5909990727148,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",8.32,9.41,1.8,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,8.15
447,Carvedilolum,"Carvedilol-ratiopharm, tabl. powl., 25 mg",30 tabl. (3 blist.po 10 szt.),5909990727193,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",10.82,12.61,3.6,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,10.09
448,Carvedilolum,"Coryol , tabl. , 6,25 mg",30 tabl. (blister),5909990983315,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",15.54,16.89,0.9,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,16.26
449,Carvedilolum,"Coryol 12,5mg, tabl. , 12,5 mg",30 tabl.,5909990216505,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",17.73,19.49,1.8,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,18.23
450,Carvedilolum,"Coryol 25 mg, tabl. , 25 mg",30 tabl.,5909990216567,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",20.6,23.06,3.6,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,20.54
451,Carvedilolum,"Coryol 3,125 mg, tabl. , 3,125 mg",30 tabl.,5909990216604,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",11.8,12.77,0.45,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,12.46
452,Carvedilolum,"Dilatrend, tabl. , 6,25 mg",30 tabl. ,5909990716111,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",15.82,17.19,0.9,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,16.56
453,Carvedilolum,"Dilatrend, tabl. , 25 mg",30 tabl. ,5909990717613,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",20.9,23.38,3.6,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,20.86
454,Carvedilolum,"Hypoten, tabl. powl., 6,25 mg",30 tabl.,5909990048465,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",6.85,7.58,0.9,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,6.95
455,Carvedilolum,"Hypoten, tabl. powl., 6,25 mg",100 tabl.,5909990048472,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",22.81,25.26,3,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,23.16
456,Carvedilolum,"Hypoten, tabl. powl., 12,5 mg",30 tabl.,5909990048489,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",8.99,10.13,1.8,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,8.87
457,Carvedilolum,"Hypoten, tabl. powl., 12,5 mg",100 tabl.,5909990048496,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",29.96,33.77,6,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,29.57
458,Carvedilolum,"Hypoten, tabl. powl., 25 mg",30 tabl.,5909990048502,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",11.56,13.39,3.6,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,10.87
459,Carvedilolum,"Hypoten, tabl. powl., 25 mg",100 tabl.,5909990048540,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",38.51,44.28,12,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,35.88
460,Carvedilolum,"Symtrend, tabl. powl., 25  mg",30 tabl. (3 blist.po 10 szt.),5909990074662,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",11.23,13.05,3.6,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,10.53
461,Carvedilolum,"Symtrend, tabl. powl., 12,5  mg",30 tabl. (3 blist.po 10 szt.),5909990074754,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",8.75,9.88,1.8,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,8.62
462,Carvedilolum,"Symtrend, tabl. powl., 6,25  mg",30 tabl. (3 blist.po 10 szt.),5909990074792,2012-01-01,2 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",6.8,7.54,0.9,Udokumentowana niewydolno__ serca w klasach NYHA II – NYHA IV,30%,6.91
